Artist,Title
Sam Smith & Kim Petras,Unholy
blink-182,EDGING
Tom MacDonald,Sheeple
Fleetwood Mac,Everywhere
David Guetta & Bebe Rexha,I'm Good (Blue)
HARDY & Lainey Wilson,wait in the truck
Kane Brown & Katelyn Brown,Thank God
Ed Sheeran,Shivers
Morgan Wallen,You Proof
Jelly Roll,Son Of A Sinner
OneRepublic,I Ain't Worried
Queen,Face It Alone
Beyoncé,CUFF IT
Bailey Zimmerman,Fall In Love
Sia,Unstoppable
Cole Swindell,She Had Me At Heads Carolina
Morgan Wallen,Wasted On You
Harry Styles,As It Was
Luke Combs,The Kind of Love We Make
Chris Brown,Under the Influence
Nicki Minaj,Super Freaky Girl
Lauren Daigle,Rescue
Bailey Zimmerman,Rock and a Hard Place
Alabama,Dixieland Delight
Jordan Davis,What My World Spins Around
Sam Smith & Kim Petras,Unholy (Disclosure Remix)
Imagine Dragons,Radioactive
Ed Sheeran,Celestial
Nicky Youre & Dazy,Sunroof
Post Malone,I Like You (A Happier Song) [feat. Doja Cat]
Lizzo,About Damn Time
Bailey Zimmerman,Never Leave
Zach Bryan,Something in the Orange (Z&E's Version)
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
Jax,Victoria’s Secret
Bailey Zimmerman,Waiting
Elton John & Britney Spears,Hold Me Closer
Gotye,Somebody That I Used to Know (feat. Kimbra)
Charlie Puth & Jung Kook,Left and Right
Dean Lewis,How Do I Say Goodbye
Lee Brice,Soul
Marshmello & Khalid,Numb
Lizzo,2 Be Loved (Am I Ready)
Imagine Dragons,Bones
Cody Johnson,'Til You Can't
Steve Lacy,Bad Habit
Jordan Davis,Next Thing You Know
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem)
"Bobby ""Boris"" Pickett & The Crypt-Kickers",Monster Mash
Calum Scott,Dancing On My Own (Tiësto Remix) [feat. Tiësto]
Kylie Morgan,Good Hands
Cody Johnson,Human
Lainey Wilson,Heart Like A Truck
Imagine Dragons,Demons
The Lumineers,Ophelia
Megan Moroney,Tennessee Orange
Fitz and The Tantrums,The Walker
Harry Styles,Late Night Talking
Zach Bryan,Something in the Orange
Kate Bush,Running Up That Hill (A Deal with God)
Grupo Frontera,No Se Va (En Vivo)
Beyoncé,CUFF IT
Bad Bunny,Tití Me Preguntó
David Guetta & Bebe Rexha,I'm Good (Blue)
The Osborne Brothers,Rocky Top (Single Version)
Chris Stapleton,Joy of My Life
Chris Stapleton,Tennessee Whiskey
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
"Diddy, Bryson Tiller, Ashanti & Yung Miami",Gotta Move On (Queens Remix)
Jackson Dean,Don’t Come Lookin’
Marshmello & Juice WRLD,Bye Bye
Bruce Springsteen,Nightshift
Snow Patrol,Chasing Cars
Lady Gaga,Hold My Hand
Tyler Hubbard,5 Foot 9
Thomas Rhett,Half Of Me (feat. Riley Green)
Lewis Capaldi,Forget Me
JVKE,golden hour
AJR,World's Smallest Violin
Bad Bunny & Chencho Corleone,Me Porto Bonito
GloRilla & Cardi B,Tomorrow 2
Fall Out Boy,My Songs Know What You Did In the Dark (Light Em Up)
Walker Hayes,Fancy Like
twenty one pilots,Stressed Out
Luke Bryan,Country On
GOJIRA,Our Time Is Now
The All-American Rejects,Gives You Hell
Florence + the Machine,Dog Days Are Over
Walker Hayes,Y'all Life
Yung Gravy,Betty (Get Money)
CAIN,I'm So Blessed (Best Day Remix)
Russell Dickerson & Jake Scott,She Likes It (feat. Jake Scott)
Blake Shelton,No Body
Jessie Murph,How Could You
Fun.,Some Nights
Lorde,Royals
AC/DC,Thunderstruck
Bailey Zimmerman,House On Fire
Coldplay,Clocks
Fall Out Boy,"Sugar, We're Goin Down"
